Title,Published_date,Views,Likes,Dislikes,Comments
"Dan + Shay, Justin Bieber - 10,000 Hours (Icon Video)",2019-10-04T04:00:05Z,6154833,260641,0,16210
Ed Sheeran & Justin Bieber – I Don’t Care (Trailer),2019-05-12T18:01:49Z,3777650,337970,0,14160
Ed Sheeran & Justin Bieber – I Don’t Care (Official Audio),2019-05-10T04:00:53Z,13448123,834549,0,50295
JustinBieberVEVO Live Stream,2017-12-02T08:11:11Z,0,481,0,0
#PurposeTourChildren Stadiums,2017-02-28T21:32:52Z,735161,26719,0,1932
#PurposeTourChildren Europe,2016-09-23T17:19:42Z,327374,14852,0,609
ジャスティン・ビーバー - 「ソーリー」（日本語字幕付）,2016-09-21T10:08:39Z,5750576,55532,0,1547
"Major Lazer - Cold Water (Dance Video) ft. Justin Bieber, MØ",2016-09-15T18:00:02Z,75436785,1168480,0,53007
Cold Water,2016-07-29T17:09:51Z,2554511,116639,0,3855
Justin Bieber - Company,2016-06-08T16:00:03Z,665400355,5209593,0,241131
Justin Bieber - Love Yourself (Live From The 2016 Radio Disney Music Awards),2016-05-20T19:30:00Z,15135705,354167,0,9131
Greece,2016-03-21T16:48:01Z,6952441,283169,0,7055
Park City,2016-03-14T17:00:32Z,2422843,102992,0,2286
#PurposeTourChildren,2016-03-04T17:48:46Z,530113,33909,0,2807
Justin Bieber - Love Yourself & Sorry - Live at The BRIT Awards 2016 ft. James Bay,2016-02-25T03:00:00Z,73281506,1102531,0,44730
#JingleBallATL,2015-12-23T01:48:42Z,552418,49533,0,1693
Purpose Yule Log,2015-12-17T20:09:10Z,227119,21405,0,1233
Justin Bieber - Sorry (Live From The Ellen Show),2015-11-25T08:00:00Z,115524011,1647388,0,52125
Justin Bieber - What Do You Mean? (Live From The Ellen Show),2015-11-25T08:00:00Z,34994226,495222,0,19467
Justin Bieber - PURPOSE : The Movement,2015-11-23T15:00:01Z,40633469,480096,0,15811
Justin Bieber - Purpose (PURPOSE : The Movement) (Official Music Video),2015-11-14T23:00:00Z,144986825,1558250,0,46423
Justin Bieber - Children (PURPOSE : The Movement),2015-11-14T22:00:00Z,39458809,475411,0,10772
"Skrillex, Diplo, Justin Bieber - Where Are Ü Now (PURPOSE : The Movement)",2015-11-14T21:00:01Z,21813802,346059,0,8125
Justin Bieber - Life Is Worth Living (PURPOSE : The Movement),2015-11-14T20:00:00Z,54696311,526002,0,15853
Justin Bieber - The Feeling (PURPOSE : The Movement) ft. Halsey,2015-11-14T19:00:01Z,77510382,736919,0,20165
Justin Bieber ft. Travi$ Scott - No Sense (PURPOSE: The Movement) [Official Video],2015-11-14T18:00:01Z,52609297,589272,0,11556
Justin Bieber - No Pressure ft. Big Sean (PURPOSE : The Movement) ft. Big Sean,2015-11-14T17:00:00Z,27091703,342598,0,7975
Justin Bieber - Company (PURPOSE : The Movement),2015-11-14T16:00:01Z,37328882,392844,0,10630
Justin Bieber - Love Yourself (PURPOSE : The Movement),2015-11-14T15:00:01Z,1703741616,8184431,0,254415
Justin Bieber - What Do You Mean? (PURPOSE : The Movement) (Official Music Video),2015-11-14T14:00:01Z,89966564,843066,0,25776
Justin Bieber - I’ll Show You (PURPOSE : The Movement),2015-11-14T13:00:03Z,9987328,263803,0,6006
Justin Bieber - Mark My Words (PURPOSE : The Movement),2015-11-14T12:00:01Z,63444274,729537,0,24125
Bieber Mode w/ Lyft,2015-11-09T15:00:04Z,1028903,45297,0,1416
Justin Bieber - Sorry (Latino Remix / Audio) ft. J Balvin,2015-11-07T00:00:01Z,132701408,1244959,0,63010
Sorry (Fan Dance Video),2015-11-03T23:37:26Z,813406,45512,0,1229
Justin Bieber - I'll Show You,2015-11-02T15:00:00Z,510565713,3524824,0,137459
Justin Bieber - Sorry (Lyric Video),2015-10-29T19:00:01Z,354145867,2700142,0,90901
Sorry (Acoustic) w/ Skrillex & BLOOD #PreOrderPurpose,2015-10-27T19:31:23Z,4334766,125590,0,2817
Justin Bieber - Sorry (PURPOSE : The Movement),2015-10-22T20:00:02Z,3672603449,16005996,0,865743
What Do You Mean? (Remix) w/ Ariana Grande,2015-10-19T14:58:32Z,5965514,282357,0,5699
Lake Life,2015-09-17T16:29:05Z,3861504,163101,0,3331
What Do You Mean? - Behind The Scenes,2015-09-10T14:56:30Z,677418,32061,0,688
What Do You Mean? (Acoustic),2015-09-08T18:25:06Z,22867840,436278,0,11642
What Do You Mean? (Live Performance From The Tonight Show Starring Jimmy Fallon),2015-09-03T16:30:01Z,1299611,44399,0,1913
Justin Bieber - What Do You Mean?,2015-08-31T03:00:00Z,2229214551,10415309,0,521304
What Do You Mean? - Music Video (Teaser),2015-08-29T20:01:40Z,642145,37400,0,1299
What Do You Mean? - Lyric Video (Teaser),2015-08-29T19:19:14Z,230145,17465,0,589
Justin Bieber - What Do You Mean? (Lyric Video),2015-08-28T11:00:00Z,213891152,1759618,0,89341
I Really Like You,2015-04-14T18:53:46Z,20167463,617720,0,27576
Justin Bieber - Calvin Klein Underwear Spring 2015,2015-01-07T05:00:43Z,1285696,43249,0,1557
Justin Bieber + Lara Stone - Calvin Klein Jeans Spring 2015,2015-01-07T05:00:18Z,813981,32707,0,1049
Justin Bieber - Confident ft. Chance The Rapper,2014-01-30T00:00:01Z,334329850,3085575,0,184855
Justin Bieber - Hold Tight,2014-01-01T18:51:09Z,3273578,86170,0,6847
Justin Bieber - Justin Meets Kate (VEVO Australia Doc),2013-12-20T16:40:01Z,10138390,174503,0,8513
"#BelieveMovie - ""Believe the Truth""",2013-12-17T17:09:10Z,1443397,66421,0,3219
Justin Bieber - Confident ft. Chance The Rapper (Official Audio),2013-12-09T06:00:00Z,125620017,934023,0,26286
Justin Bieber - All That Matters,2013-12-03T00:30:01Z,226021408,1981284,0,133545
Justin Bieber - Change Me,2013-12-02T06:00:00Z,12529673,186187,0,8760
#BelieveMovie - #BeAlright,2013-11-29T04:59:09Z,790051,45000,0,1843
Justin Bieber - All That Matters (Teaser),2013-11-27T02:00:00Z,3921267,85249,0,9693
Justin Bieber - Roller Coaster (Official Audio),2013-11-25T06:00:01Z,23443418,261669,0,14367
Justin Bieber - PYD ft. R. Kelly,2013-11-22T23:00:01Z,8381114,93851,0,3836
Justin Bieber - PYD ft. R. Kelly (Official Music Video),2013-11-22T23:00:00Z,3971505,70737,0,3247
