Title,Published_date,Views,Likes,Dislikes,Comments
Taylor Swift – mirrorball (Official Lyric Video),2020-07-24T04:00:04Z,19331457,279910,0,8136
Taylor Swift – illicit affairs (Official Lyric Video),2020-07-24T04:00:04Z,17099614,246903,0,6801
Taylor Swift – invisible string (Official Lyric Video),2020-07-24T04:00:04Z,21896327,293034,0,8905
Taylor Swift – betty (Official Lyric Video),2020-07-24T04:00:03Z,23384867,383343,0,16588
Taylor Swift - the 1 (Official Lyric Video),2020-07-24T04:00:03Z,46373010,625668,0,17974
Taylor Swift – mad woman (Official Lyric Video),2020-07-24T04:00:02Z,11196807,241064,0,8268
Taylor Swift – epiphany (Official Lyric Video),2020-07-24T04:00:02Z,10664011,214167,0,9324
Taylor Swift - the last great american dynasty (Official Lyric Video),2020-07-24T04:00:01Z,21101100,320974,0,11133
Taylor Swift - Cornelia Street (Live From Paris),2020-06-22T10:00:21Z,12041074,263952,0,10953
Taylor Swift - Death By A Thousand Cuts (Live From Paris),2020-05-18T02:00:11Z,3464531,81624,0,2576
Taylor Swift - Daylight (Live From Paris),2020-05-18T02:00:03Z,1896364,59290,0,2179
Taylor Swift - The Archer (Live From Paris),2020-05-18T02:00:03Z,726548,25472,0,1014
Taylor Swift - ME! (Live From Paris),2020-05-18T02:00:02Z,636739,31392,0,1388
Taylor Swift - You Need To Calm Down (Live From Paris),2020-05-18T02:00:02Z,504300,25567,0,1049
Taylor Swift - Cornelia Street (Live From Paris),2020-05-18T02:00:00Z,5009243,107927,0,4627
Taylor Swift - Lover (Live From Paris),2020-05-18T02:00:00Z,869137,35881,0,1391
Taylor Swift - The Man (Behind The Scenes: The Umpire),2020-03-20T18:01:06Z,729186,39022,0,1145
Taylor Swift - The Man (Behind The Scenes: Directing),2020-03-10T12:45:00Z,1785261,99561,0,3254
Taylor Swift - The Man (Becoming The Man: Behind The Scenes),2020-03-06T13:15:00Z,3633278,189185,0,6478
Taylor Swift - The Man (Official Video),2020-02-27T12:00:11Z,80318735,1962508,0,110548
Taylor Swift - The Man (Live From Paris),2020-02-18T05:00:02Z,8054479,318553,0,9441
Taylor Swift - The Man (Lyric Video),2020-02-07T17:00:20Z,22948462,627589,0,19126
Taylor Swift - Only The Young (Featured in Miss Americana / Lyric Video),2020-01-31T09:00:06Z,12776645,384012,0,15992
Miss Americana | Official Trailer,2020-01-22T15:45:12Z,7906804,394226,0,14680
Taylor Swift - The Making Of Christmas Tree Farm,2019-12-23T14:00:49Z,1244575,102386,0,4917
How To Be A Cat,2019-12-16T18:43:56Z,942808,97094,0,3433
Taylor Swift - Christmas Tree Farm,2019-12-06T05:00:10Z,16052494,642408,0,25894
Taylor Swift - Christmas Tree Farm (Lyric Video),2019-12-06T05:00:06Z,3182059,124558,0,3918
Taylor Swift - Live at the 2019 American Music Awards,2019-11-27T04:39:20Z,96478884,2072321,0,71266
Taylor Swift - Lover (First Dance Remix),2019-11-26T05:02:00Z,3390895,158707,0,6699
Taylor Swift - Lover Remix Feat. Shawn Mendes (Snow Globe Lyric Video),2019-11-22T22:35:17Z,2400945,106455,0,2424
"Taylor Swift - Beautiful Ghosts (From The Motion Picture ""Cats"" / Lyric Video)",2019-11-15T05:00:10Z,7672269,321891,0,14750
Taylor Swift - Lover Remix Feat. Shawn Mendes (Lyric Video),2019-11-13T12:27:46Z,25250014,680945,0,23962
"Taylor Swift - ""False God"" (Live on Saturday Night Live / 2019)",2019-10-07T20:54:40Z,4526080,170347,0,4550
"Taylor Swift - ""Lover"" (Live on Saturday Night Live / 2019)",2019-10-07T20:51:29Z,4100027,163267,0,4319
Lover Album Photoshoot: Behind The Scenes,2019-08-23T16:03:43Z,2281819,53810,0,1685
Taylor Swift - The Man (Official Audio),2019-08-23T04:00:11Z,21873311,238393,0,7214
Taylor Swift - Daylight (Official Audio),2019-08-23T04:00:07Z,29764367,349279,0,10814
Taylor Swift - It’s Nice To Have A Friend (Official Audio),2019-08-23T04:00:06Z,6231290,126519,0,5699
Taylor Swift - Cruel Summer (Official Audio),2019-08-23T04:00:06Z,74888728,635473,0,17730
Taylor Swift - I Forgot That You Existed (Official Audio),2019-08-23T04:00:06Z,23672306,288829,0,7587
Taylor Swift - Miss Americana & The Heartbreak Prince (Official Audio),2019-08-23T04:00:05Z,23135584,251340,0,7797
Taylor Swift - Soon You’ll Get Better (Official Audio) ft. The Chicks,2019-08-23T04:00:05Z,8666997,153709,0,6133
Taylor Swift - Death By A Thousand Cuts (Official Audio),2019-08-23T04:00:03Z,12849198,157360,0,3933
Taylor Swift - Cornelia Street (Official Audio),2019-08-23T04:00:03Z,36348149,268785,0,8351
Taylor Swift - London Boy (Official Audio),2019-08-23T04:00:03Z,23559675,243982,0,10087
Taylor Swift - Paper Rings (Official Audio),2019-08-23T04:00:02Z,36104377,404981,0,8232
Taylor Swift - I Think He Knows (Official Audio),2019-08-23T04:00:01Z,15063326,186377,0,5230
Taylor Swift - False God (Official Audio),2019-08-23T04:00:01Z,9996831,130245,0,3638
Taylor Swift - Afterglow (Official Audio),2019-08-23T04:00:00Z,23181500,264973,0,6148
"Taylor’s Diary -  Discusses Getting Her First Cat Meredith Grey, Tour and Middle School",2019-08-23T00:06:18Z,107740,7813,0,169
Taylor Swift Answers Questions From Fans From Lover’s Lounge Live,2019-08-23T00:05:52Z,279084,20594,0,600
Taylor’s Diary - My 13 Year Old Self (Exclusive Reading from Deluxe Edition Lover Album),2019-08-23T00:05:21Z,223568,18139,0,475
Taylor Swift - The Archer First Ever Live Performance,2019-08-23T00:04:42Z,377202,34270,0,1229
Taylor Swift - Lover's Lounge (Live),2019-08-22T21:47:44Z,15707902,0,0,4006
Taylor Swift - Lover (Official Music Video),2019-08-22T21:30:09Z,228314654,3187306,0,98997
Taylor Swift - Lover (Official Lyric Video),2019-08-16T04:00:05Z,46298885,870292,0,42390
Taylor Swift - Livestream Announcement (8/22/19 @ 5pm EST),2019-08-15T18:06:59Z,13815317,79558,0,4812
Taylor Swift - The Archer (Lyric Video),2019-07-23T21:15:00Z,28464349,652555,0,38379
You Need To Calm Down Behind The Scenes: Friends & Neighbors,2019-07-18T15:50:29Z,1914438,95155,0,2377
You Need To Calm Down Behind The Scenes: Morning Routine,2019-07-09T13:42:45Z,2964554,135914,0,4253
You Need To Calm Down Behind The Scenes: Pop Queen Pageant,2019-06-20T15:00:01Z,3024280,162007,0,4518
