Title,Published_date,Views,Likes,Dislikes,Comments
Ed Sheeran - Visiting Hours [Official Performance Video],2021-08-19T13:00:24Z,30466024,428545,0,15102
Ed Sheeran - Bloodstream [Live at TikTok UEFA EURO 2020],2021-08-08T09:00:17Z,2832114,30046,0,1336
Ed Sheeran - The Making of 'Bad Habits' | Vevo Footnotes,2021-08-05T16:00:11Z,516317,17719,0,875
Ed Sheeran - Perfect [Live at TikTok UEFA EURO 2020],2021-08-04T09:00:02Z,1485299,53766,0,2153
Ed Sheeran - Bad Habits [Meduza Remix],2021-07-30T09:00:02Z,3001981,56876,0,1764
Ed Sheeran - Bad Habits [Official Studio BTS],2021-07-23T09:00:11Z,5391755,121769,0,3654
Ed Sheeran - Bad Habits [Official Performance Video],2021-07-16T09:00:06Z,3373032,94788,0,3166
Ed Sheeran – Bad Habits [Official Acoustic Video],2021-07-09T09:00:30Z,5382209,184089,0,5137
Ed Sheeran – Bad Habits [Official Behind The Scenes Video],2021-07-02T09:00:03Z,6810009,136131,0,3597
Ed Sheeran - Bad Habits (Live from iHeartRadio’s Wango Tango 2021),2021-07-01T18:53:58Z,14846956,218412,0,5949
Ed Sheeran - Bad Habits [Official Lyric Video],2021-06-28T09:00:15Z,37064811,261552,0,4994
Ed Sheeran - Zane Lowe Interview,2021-06-27T19:00:06Z,523283,21068,0,1068
Ed Sheeran - Bad Habits [Live at TikTok UEFA EURO 2020],2021-06-27T11:00:21Z,2813466,120421,0,4855
Ed Sheeran - Bad Habits [Official Video],2021-06-25T04:00:33Z,521240576,4347779,0,150605
Ed Sheeran – Bad Habits - 25th June,2021-06-16T10:14:22Z,4161857,147612,0,7088
Ed Sheeran - Afterglow [Official Acoustic Video],2021-01-02T10:00:02Z,5697408,197799,0,9209
Ed Sheeran - Afterglow [Official Lyric Video],2020-12-26T08:00:12Z,19790955,314789,0,7509
Ed Sheeran - Afterglow [Official Performance Video],2020-12-21T11:00:28Z,118343938,1267487,0,42163
Ed Sheeran - Put It All On Me (feat. Ella Mai) [Official Music Video],2019-12-22T10:00:43Z,69563003,872310,0,20852
Ed Sheeran - I Don't Care (Live At Abbey Road),2019-12-06T12:04:45Z,84583240,615471,0,12928
Ed Sheeran - South of the Border (feat. Camila Cabello) [Official Acoustic],2019-11-29T05:00:03Z,2766193,94458,0,3068
Ed Sheeran - South of the Border (feat. Camila Cabello & Cardi B) [Official Music Video],2019-10-04T18:30:26Z,244985425,2254136,0,52606
"Ed Sheeran - Take Me Back To London (Sir Spyro Remix) [feat. Stormzy, Jaykae & Aitch]",2019-08-23T10:45:59Z,117358522,1116123,0,40188
"Ed Sheeran - Take Me Back To London (Remix) [feat. Stormzy, Jaykae & Aitch]",2019-08-23T04:00:00Z,2289793,25242,0,754
Ed Sheeran - Nothing On You (feat. Paulo Londra & Dave) [SBTV Official Music Video],2019-08-08T21:58:14Z,60586836,1530183,0,43688
Ed Sheeran & Travis Scott - Antisocial [Charlamagne Tha God Interview],2019-07-16T17:05:28Z,673778,11369,0,439
Ed Sheeran - Beautiful People (feat. Khalid) [Charlamagne Tha God Interview],2019-07-16T17:05:08Z,623279,17415,0,586
Ed Sheeran - Remember The Name (feat. Eminem & 50 Cent) [Charlamagne Tha God Interview],2019-07-15T18:43:30Z,2226205,60749,0,2425
Ed Sheeran - South of the Border (feat. Camila Cabello & Cardi B) [Charlamagne Tha God Interview],2019-07-15T18:42:40Z,489096,19319,0,865
Ed Sheeran & Travis Scott - Antisocial [Official Music Video],2019-07-12T11:00:27Z,70668879,1364727,0,27999
Ed Sheeran - No.6 Collaborations Project (Charlamagne Tha God Full Interview),2019-07-12T08:00:10Z,1466261,41658,0,1994
Ed Sheeran - I Don't Want Your Money (feat. H.E.R.) [Official Lyric Video],2019-07-12T04:00:09Z,6005401,90207,0,1713
Ed Sheeran - Take Me Back To London (feat. Stormzy) [Official Lyric Video],2019-07-12T04:00:06Z,23893734,227034,0,4676
Ed Sheeran - Put It All On Me (feat. Ella Mai) [Official Lyric Video],2019-07-12T04:00:04Z,9471778,123865,0,2068
Ed Sheeran - South of the Border (feat. Camila Cabello & Cardi B) [Official Lyric Video],2019-07-12T04:00:04Z,74002732,922975,0,23445
Ed Sheeran & Travis Scott - Antisocial [Official Lyric Video],2019-07-12T04:00:03Z,18183947,213587,0,3029
Ed Sheeran - Nothing On You (feat. Paulo Londra & Dave) [Official Lyric Video],2019-07-12T04:00:02Z,7290834,177551,0,5447
Ed Sheeran - Feels (feat. Young Thug & J Hus) [Official Lyric Video],2019-07-12T04:00:02Z,4949445,69406,0,1298
Ed Sheeran - 1000 Nights (feat. Meek Mill & A Boogie Wit Da Hoodie) [Official Lyric Video],2019-07-12T04:00:02Z,5987714,95511,0,1741
Ed Sheeran - Remember The Name (feat. Eminem & 50 Cent) [Official Lyric Video],2019-07-12T04:00:02Z,53367423,911132,0,29586
Ed Sheeran - Way To Break My Heart (feat. Skrillex) [Official Lyric Video],2019-07-12T04:00:02Z,9078516,191842,0,3802
Ed Sheeran - Best Part Of Me (feat. YEBBA) (Live At Abbey Road),2019-07-10T09:00:11Z,33942530,403571,0,8285
Ed Sheeran - BLOW (with Chris Stapleton & Bruno Mars) [Official Music Video],2019-07-08T07:00:26Z,21617618,334947,0,12302
Ed Sheeran - Best Part Of Me (feat. YEBBA) [Official Lyric Video],2019-07-05T04:00:05Z,21726909,509542,0,11106
Ed Sheeran - BLOW (with Chris Stapleton & Bruno Mars) [Official Lyric Video],2019-07-05T04:00:02Z,12242392,343181,0,12534
Ed Sheeran - Beautiful People (Live At Abbey Road),2019-07-02T13:00:03Z,7406873,225127,0,5700
Ed Sheeran - Beautiful People (feat. Khalid) [Official Music Video],2019-06-28T07:00:05Z,360983492,2783556,0,54839
Ed Sheeran - Beautiful People (feat. Khalid) [Official Lyric Video],2019-06-28T04:00:00Z,98968136,798091,0,19022
Ed Sheeran - Cross Me (feat. Chance The Rapper & PnB Rock) [Official Music Video],2019-06-21T17:20:16Z,51371452,677537,0,15782
Ed Sheeran - I Don't Care (Acoustic) [Official Audio],2019-05-31T04:00:04Z,12448710,257308,0,7536
Ed Sheeran - No.6 Collaborations Project (Charlamagne Tha God Interview),2019-05-28T13:00:04Z,1013202,30800,0,1393
Ed Sheeran - Cross Me (feat. Chance The Rapper & PnB Rock) [Official Lyric Video],2019-05-24T04:00:00Z,59999009,710357,0,16229
Ed Sheeran – No.6 Collaborations Project (Charlamagne Tha God Interview Trailer),2019-05-23T13:00:32Z,429588,25804,0,1516
Ed Sheeran & Justin Bieber - I Don't Care [Official Music Video],2019-05-17T12:58:44Z,566515941,6340873,0,188258
Ed Sheeran & Justin Bieber - I Don't Care [Official Trailer],2019-05-11T18:13:57Z,7842800,363258,0,8565
Ed Sheeran & Justin Bieber - I Don't Care [Official Lyric Video],2019-05-10T04:07:42Z,241350409,2737253,0,65178
Sheeran Guitars by Lowden,2019-01-24T18:12:44Z,1275281,62684,0,2836
Drop4Drop x Ed Sheeran,2018-08-03T11:09:04Z,2013924,39930,0,1967
Ed Sheeran - 'Songwriter' [Official Trailer],2018-07-18T14:26:51Z,3589181,175740,0,6436
Ed Sheeran – Perfect Symphony feat. Andrea Bocelli [Live at Wembley Stadium],2018-06-26T17:52:05Z,24209847,352421,0,8845
"Ed Sheeran - Galway Girl feat. Beoga [2018 Billboard Music Awards, Live from Dublin]",2018-05-25T13:59:48Z,2509646,79095,0,3262
Interview with Ed Sheeran for the Happier video...,2018-05-14T17:21:06Z,849425,51668,0,2477
Ed Sheeran - Happier (Official Music Video),2018-04-27T08:40:14Z,403368677,3044143,0,92898
Ed Sheeran - Supermarket Flowers [Live from the BRITs 2018],2018-02-22T16:26:18Z,32038761,341928,0,12156
Ed Sheeran - Perfect Symphony [with Andrea Bocelli] (Official Music Video),2017-12-15T08:12:39Z,475215372,3293428,0,93133
Ed Sheeran - Perfect Duet (with Beyoncé) [Official Audio],2017-12-01T00:54:56Z,233628246,2011779,0,70314
Ed Sheeran - Perfect (Official Music Video),2017-11-09T11:04:14Z,3469860424,19745624,0,493828
Ed Sheeran - End The Silence Music Memory,2017-11-01T00:01:05Z,1772572,74665,0,2609
Ed Sheeran - Perfect [Official Lyric Video],2017-09-22T07:02:24Z,280951050,2008145,0,51651
Ed Sheeran - Bibia Be Ye Ye [Official Music Video],2017-08-02T21:12:14Z,62761201,918311,0,27431
Ed Sheeran - Galway Girl [Official Music Video],2017-05-04T06:06:16Z,580140091,3875024,0,87189
Ed Sheeran - Galway Girl [Official Lyric Video],2017-03-17T16:32:29Z,156482564,1122938,0,31224
Ed Sheeran - Castle on the Hill (Live on the Honda Stage at the iHeartRadio Theater NY),2017-03-10T15:17:10Z,4031487,59883,0,1550
Ed Sheeran - Bloodstream (Live on the Honda Stage at the iHeartRadio Theater NY),2017-03-10T15:17:10Z,9217292,73796,0,2288
Ed Sheeran - Thinking Out Loud (Live on the Honda Stage at the iHeartRadio Theater NY),2017-03-10T15:17:09Z,2359172,43742,0,1066
